id_anssi,titre_anssi,type_bulletin,date_publication,cve,cvss_score,base_severity,cwe,cwe_desc,epss_score,lien_anssi,description,editeur,produit,versions_affectees
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8571,,,Non disponible,Insufficient policy enforcement,0.00214,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient policy enforcement in GPU in Google Chrome on Android prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8572,,,Non disponible,Insufficient policy enforcement,0.0016,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient policy enforcement in Network in Google Chrome on Android prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to leak cross-origin data via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8573,,,CWE-472,Integer overflow,0.00233,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Integer overflow in Codecs in Google Chrome on Windows prior to 148.0.7778.168 allowed a remote attacker to potentially perform a sandbox escape via a crafted video file. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8574,,,CWE-416,Use after free,0.00182,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in Core in Google Chrome on Windows prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8575,,,CWE-416,Use after free,0.00176,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in UI in Google Chrome prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8576,,,Non disponible,Inappropriate implementation,0.00155,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Inappropriate implementation in CORS in Google Chrome on Linux and ChromeOS prior to 148.0.7778.168 allowed a remote attacker to leak cross-origin data via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8577,,,CWE-472,Integer overflow,0.00252,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Integer overflow in Fonts in Google Chrome prior to 148.0.7778.168 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8578,,,CWE-125,Out of bounds read,0.00156,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Out of bounds read in GPU in Google Chrome on Linux prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to leak cross-origin data via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8579,,,CWE-20,Insufficient validation of untrusted input,0.00134,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient validation of untrusted input in Skia in Google Chrome prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to perform an out of bounds memory write via a crafted print file. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8580,,,CWE-416,Use after free,0.00211,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in Mojo in Google Chrome prior to 148.0.7778.168 allowed a remote attacker to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8581,,,CWE-416,Use after free,0.00262,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in GPU in Google Chrome prior to 148.0.7778.168 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.168
